brand,country,industry,website,products,description,mission,overall_score,environment_score,environment_products,environment_practices,environment_outputs,environment_inputs,certification
1st playable productions,United States,"other prof, scientific & tech (isic 749)",www.1stplayable.com,game development studio,unknown,unknown,85.4,10.1,0.0,10.1,0.7,3.4,b-corp
3 phases renewables,United States,not in use,3phasesrenewables.com,comprehensive renewable energy solutions,"we provide our customers with up to 100% of renewable energy through recs, direct access services, and onsite distribution services.  most of our customers choose to purchase 100% renewable power from us.",to make renewable energy accessible and affordable.,104.9,41.3,unknown,17.5,2.9,5.5,b-corp
3degrees group inc.,United States,other/general wholesale trade,www.3degreesinc.com,"green power & community solar programs, recs, offsets, ppas, consulting","3degrees is an environmental commodity trading, sales, and advisory firm.",3degrees' mission is to mitigate the effects of climate change by accelerating the development of the low-carbon renewable energy economy.,101.2,37.9,unknown,12.0,1.8,3.9,b-corp
"3p partners, inc.",United States,not in use,pipsrewards.com,behavior tech platform,"3p partners, a woman-led certified b corporation, has brought to market an innovative engagement platform (pips rewards) that turns verified engagement in beneficial behaviors into high-value rewards, reinforcing the 'cycle of good.'","imagine boosting student retention, success and lifetime value - while deepening engagement in beneficial choices — all through an innovative mobile platform that mashes up smart tech, behavioral psychology and a ‘currency of good.' now you can with pips.",108.3,14.1,unknown,0.1,0.1,0.0,b-corp
3vectores,Uruguay,other info service activities,www.3vectores.com,sustainable branding,"somos un estudio de diseño de triple impacto. 

?ponemos el diseño y la tecnología al servicio de la divulgación, y generacion de competencias a los micro-emprendimientos. trabajamos con pequeñas empresas, clusters y ongs.","nuestros servicios deben dinamizar la economía local. diseñar con el propósito de evolucionar negocios y ciudades hacia la innovación y la sustentabilidad. nuestro diseño debe buscar el triple impacto: social, económico y ambiental y redefinir el éxito.",103.6,8.5,unknown,6.8,0.5,2.5,b-corp
3x5 partners,United States,other financial services,Unknown,venture capital,venture capital fund focused on innovation in life sciences and resource management,we invest in what the world needs,91.1,6.1,unknown,4.9,0.0,1.7,b-corp
4 pines brewing company,Australia,beverages,4pinesbeer.com.au,handcrafted beer brewed naturally,"an independently owned beer company embracing employee culture, customer experience, innovation, environmental and social responsibility and exceptional beer. 







to create, share and perpetuate australia’s leading independently owned beer company.","to create, share and perpetuate australia’s leading independently owned beer company. a lifelong journey with our family, friends and community; to restore the fun in peoples lives; and forever challenge what the world imagines business should be.",99.1,41.9,unknown,23.9,6.4,8.7,b-corp
4th bin inc.,United States,environmental consulting (isic 749),4thbin.com,electronic waste collection and recycling,"4th bin is the only company in new york city picking up electronic waste from local businesses and residents. our door-to-door ewaste recycling solution is convenient, simple and inexpensive.","the 4th bin is dedicated to educating businesses and consumers about the hazards of electronic waste and providing a simple and inexpensive means of rescue and disposal.  not only do we ethically and responsibly recycle or reuse all equipment we collect,",100.5,37.3,28.9,7.9,1.1,1.0,b-corp
4you2 idiomas,Brazil,other education (isic 854),www.4y2.org,language school,4you2 is a social business that provides transformative experiences of learning and culture to its stakeholders through the teaching of languages.,transform education through language learning and transcultural experiences that are accessible and of quality for the base of the pyramid in a global environment.,119.8,4.2,0.0,3.3,0.5,0.5,b-corp
5 degrees property group,Australia,real estate- fee/contract,5degrees.com.au,property broker,a property broker for finance and real estate professionals,unknown,88.7,17.3,unknown,3.7,1.1,2.6,b-corp
5 lakes energy,United States,environmental consulting,5lakesenergy.com,clean energy and sustainability consulting,"5 lakes energy is a michigan-based consulting firm dedicated to advancing policies and programs that promote clean energy, sustainability and the environment.","5 lakes energy works to advance clean energy technologies and policies, along with sustainability and energy efficiency programs in both the public and private sectors.",84.4,11.5,unknown,10.6,1.1,0.0,b-corp
"7group, llc",United States,environmental consulting,www.sevengroup.com,sustainability consulting,unknown,unknown,90.8,52.4,unknown,8.2,3.3,3.1,b-corp
18 feet & rising,United Kingdom,advertising & market research,www.18feet.com,advertising agency,unknown,unknown,82.6,8.4,unknown,8.4,0.7,0.5,b-corp
100km foods inc.,Canada,food products (isic 463),www.100kmfoods.com,local food,"100km foods inc. is a local food distribution company based in toronto, ontario, canada","our mission is to establish a viable, dynamic and sustainable local food economy whereby chefs have access to the freshest and best products that ontario has to offer, and ontario producers have a dedicated channel for the sales, marketing and distributio",110.3,10.5,unknown,5.9,0.8,0.4,b-corp
148,France,advertising & market research,148.fr,"advising, development, implementation, web, event planning and marketing buzz.",small independent business in advertising and branding communication strategy business.,"global creative agency we are a small company delivering consulting and implementation solution related to website creation, branding identity and communication strategy, we are creative people and technical expert.",80.3,7.5,unknown,6.7,1.1,2.0,b-corp
